# Contains the count of how many times a cell in the global cache had an insert performed to it.
# The fields are (insert count, touch count)
--------------------- BANK   0 --------------------
SET [ 44]  (     1,      6),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 45]  (     1,      6),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 46]  (     1,      2),  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 47]  (     1,      1),  (     1,      4),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 48]  (     1,      4),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 49]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 50]  (     1,      6),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 51]  (     1,      6),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 52]  (     1,      6),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 53]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 54]  (     1,      4),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 55]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 56]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 57]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 58]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 59]  (     1,      4),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 60]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 61]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 62]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 63]  (     1,      5),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 64]  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 65]  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 66]  (     1,      8),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 67]  (     1,      9),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
SET [ 68]  (     1,      9),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0),  (     0,      0), 
